id	tweet_id	tweet_url	user_id	tweet	target_word	Aggression	Emotion	Emphasis	Auxiliary	Signal Group Identity	Non-Vulgar	Majority	Has_Majority
616470622_395006854918443008_7	395006854918443008	https://twitter.com/realdonaldtrump/status/395006854918443008	616470622	Be careful you guys <USER> kicked my <b>ass</b> in my dream last night.	ass	2	1	2	2	0	0	3	0
565822574_435804872475418624_5	435804872475418624	https://twitter.com/realdonaldtrump/status/435804872475418624	565822574	I survived the night of <b>hell</b> and paper writing. Now for the day of hell and paper reviewing/stats testing	hell	0	2	2	1	0	2	1	0
1042937455_483733360984875008_12	483733360984875008	https://twitter.com/realdonaldtrump/status/483733360984875008	1042937455	It's about being an honest real person and having empathy to not <b>fuck</b> with someone you claimed to love for years while fucking your new gf ud83dude02	fuck	3	0	1	3	0	0	3	0
1117714796_355070988666408961_6	355070988666408961	https://twitter.com/realdonaldtrump/status/355070988666408961	1117714796	Eddie to Chloe after episode 32, <b>damn</b> boy. Never have him have you on his bad side. He a diva, and pretty rude. #ILikeIt #Hollywoodheights	damn	0	3	3	1	0	0	1	0
453293054_299030260069056512_5	299030260069056512	https://twitter.com/realdonaldtrump/status/299030260069056512	453293054	Also, I think my personal <b>hell</b> would consist of writing an accounting textbook. Or reading one.	hell	0	2	1	2	0	2	5	0
40005291_684177580551974912_13	684177580551974912	https://twitter.com/realdonaldtrump/status/684177580551974912	40005291	<USER> <USER> <USER> <USER> PSN still down...What are you people doing? Get this <b>shit</b> fixed ffs. Tired of your incompetence	shit	2	2	1	2	0	0	1	0
1117714796_554356844526075904_7	554356844526075904	https://twitter.com/realdonaldtrump/status/554356844526075904	1117714796	test's been pushed back to Wednesday.' YESSSSSSSSSSSSSSS <b>BITCH</b> YESSSSSSSSSS	bitch	0	3	1	0	3	0	4	0
25807866_192026547404800000_18	1.92027E+17	https://twitter.com/realdonaldtrump/status/192026547404800000	25807866	blocking me is just like another slap in the face, proving to me that you don't give a <b>shit.</b>	shit	2	2	2	1	0	0	1	0
3166193916_621168983333449728_5	621168983333449728	https://twitter.com/realdonaldtrump/status/621168983333449728	3166193916	See, this is exactly the <b>shit</b> I was talking about. #WhenYourFriendsBoyfriend has better eyebrows then you. ud83dude12 SMH <URL>	shit	0	3	1	3	0	0	1	0
1380337848_443240978158456832_8	443240978158456832	https://twitter.com/realdonaldtrump/status/443240978158456832	1380337848	<USER>_rima ud83dude0a send a pic of your sched <b>nigga</b>	nigga	3	0	1	0	3	0	4	0
716829554_465626427497271297_23	465626427497271297	https://twitter.com/realdonaldtrump/status/465626427497271297	716829554	Spent over a weak working on this 1,000 word research paper and then my computer wants to freeze up and delete. .. Beyond <b>pissed</b>	pissed	1	3	0	3	0	0	1	0
3605096716_729664123299057664_4	729664123299057664	https://twitter.com/realdonaldtrump/status/729664123299057664	3605096716	<USER> POST A PIC <b>HOE</b> I BARELY KNOW WHAT HE LOOKS LIKE	hoe	3	0	0	1	3	0	0	0
1300116896_834978449894830080_15	834978449894830080	https://twitter.com/realdonaldtrump/status/834978449894830080	1300116896	you're the cutest human being ever I fucking sweaaaarrrr!!! I want you to be mineee! <b>fuck</b> i love you so damn much <URL>	fuck	0	3	3	1	0	0	1	0
343454137_232367768840839168_9	232367768840839168	https://twitter.com/realdonaldtrump/status/232367768840839168	343454137	I don't usually drink but when I do..we send <b>shit</b> to other planets..stay curious my friends. #Curiosity #mars	shit	0	3	1	3	0	0	1	0
378160687_303245082734235649_3	303245082734235649	https://twitter.com/realdonaldtrump/status/303245082734235649	378160687	<USER> thats ill <b>shit</b>	shit	0	3	1	3	0	0	1	0
75457899_703246128322482176_10	703246128322482176	https://twitter.com/realdonaldtrump/status/703246128322482176	75457899	Mr. P in his element - a beach bar. Blue <b>Bitch,</b> St. Maarten. <URL>	bitch	2	0	0	1	2	2	3	0
405074580_622777518056013824_3	622777518056013824	https://twitter.com/realdonaldtrump/status/622777518056013824	405074580	I'm the birthday <b>bitch</b> #myday #im24	bitch	0	2	1	2	2	0	4	0
411162914_516108947384573953_4	516108947384573953	https://twitter.com/realdonaldtrump/status/516108947384573953	411162914	#DavisHallProblems !!!!! WHAT THE <b>FUCK</b> <URL>	fuck	1	3	3	0	0	0	1	0
246549549_510950405589975040_9	510950405589975040	https://twitter.com/realdonaldtrump/status/510950405589975040	246549549	Theres a special place in hell for people who <b>shit</b> in public porta potties ??	shit	1	1	1	2	2	0	3	0
2502474378_634718254586535936_7	634718254586535936	https://twitter.com/realdonaldtrump/status/634718254586535936	2502474378	<USER> you are a pain in the <b>ass</b>	ass	2	1	2	2	0	0	3	0
234764142_61488072952524800_1	6.14881E+16	https://twitter.com/realdonaldtrump/status/61488072952524800	234764142	<USER> <b>HELL</b> YES! Can't wait!	hell	1	3	3	0	0	0	1	0
1007743088_403239687268995073_8	403239687268995073	https://twitter.com/realdonaldtrump/status/403239687268995073	1007743088	<USER> <USER> Good then we can compile stupid <b>shit</b>	shit	1	2	2	2	0	0	1	0
148151249_188849436217192448_2	188849436217192448	https://twitter.com/realdonaldtrump/status/188849436217192448	148151249	give them <b>hell,</b> turn their heads...gonna live life till weu2019re dead. <USER> <USER> <URL>	hell	0	3	0	3	0	1	5	0
1110247477_365627182158057473_4	365627182158057473	https://twitter.com/realdonaldtrump/status/365627182158057473	1110247477	Fuck I look like <b>hoe</b> ? I look like yes and you look like NO !	hoe	2	1	0	2	2	0	3	0
3420881525_663889462825369600_20	663889462825369600	https://twitter.com/realdonaldtrump/status/663889462825369600	3420881525	<USER> ok. I kinda hate disney tbh. I'm a Pixar fan myself I thought Shrek and toy story where THE <b>SHIT</b> as a kid.	shit	0	3	3	1	0	0	1	0
324029703_447904155164999680_4	447904155164999680	https://twitter.com/realdonaldtrump/status/447904155164999680	324029703	that 'doctor' doNT KNOW <b>SHIT</b> MA DUDE	shit	1	2	1	2	1	0	1	0
148151249_205456353236500481_0	205456353236500481	https://twitter.com/realdonaldtrump/status/205456353236500481	148151249	<b>BULLSHIT!</b> If there is time to be on Facebook/Twitter, there's time to workout. It's not about 'having' time. It's about making time #gym	bullshit	1	3	3	0	0	0	1	0
935979132_419251667968987136_1	419251667968987136	https://twitter.com/realdonaldtrump/status/419251667968987136	935979132	<USER>: <b>Dick</b> Move <URL>' <USER>_am_Pablo_ i thought you would appreciate this	dick	1	2	1	2	1	0	1	0
3085159283_724060632467673089_20	724060632467673089	https://twitter.com/realdonaldtrump/status/724060632467673089	3085159283	<USER> oh.Yeah no sorry had some problems on my insta I'm not changing that setting so that whole random message <b>shit</b> happens on here	shit	0	3	1	3	0	0	3	0
285893239_190221323560169472_0	190221323560169472	https://twitter.com/realdonaldtrump/status/190221323560169472	285893239	<b>Damn</b> you smith hall for being so cold!!!	damn	3	3	1	0	0	0	0	0
568568645_486268367754383362_9	486268367754383362	https://twitter.com/realdonaldtrump/status/486268367754383362	568568645	when you see my face, hope it gives you <b>hell</b>	hell	0	3	0	3	0	1	1	0
117912833_103840644967047169_0	103840644967047169	https://twitter.com/realdonaldtrump/status/103840644967047169	117912833	<b>Damn</b> online bookstores misrepresenting their stock. Now I have to order this $100 book again, but I won't have the funds for 2 weeks.	damn	1	3	3	0	0	0	1	0
558602048_764106332085428229_10	764106332085428229	https://twitter.com/realdonaldtrump/status/764106332085428229	558602048	<USER> Mygawd I faking hate lyf. So mich bllsht *types <b>shit*</b> *rants shit* fak	shit	0	3	1	3	0	0	1	0
467824710_220391265605398528_7	220391265605398528	https://twitter.com/realdonaldtrump/status/220391265605398528	467824710	<USER> touche.. The only thing that really <b>pissed</b> me off was that her name wasnt Mary Jane.	pissed	0	2	2	2	0	1	1	0
25807866_173130110713606145_3	173130110713606145	https://twitter.com/realdonaldtrump/status/173130110713606145	25807866	walaaa! magic. u201c<USER>_Sweezy23 <b>Bitch</b> parkinglot Lee magic 2bad bitches and I gottem outta magicu201d	bitch	2	0	1	2	2	0	4	0
19889595_293847465210290176_9	293847465210290176	https://twitter.com/realdonaldtrump/status/293847465210290176	19889595	By the time I looked up it was all <b>fucked</b> up.	fucked	0	3	3	1	0	0	1	0
23443442_305136770121609216_1	305136770121609216	https://twitter.com/realdonaldtrump/status/305136770121609216	23443442	<USER>_atc <b>fucking</b> student loans. Ruining my life haha	fucking	1	3	3	0	0	0	1	0
3362780789_698352612874313728_15	698352612874313728	https://twitter.com/realdonaldtrump/status/698352612874313728	3362780789	<USER> lmao nothing beats a group of guys literally following you around the neighborhood. like <b>piss</b> off.	piss	3	0	1	3	0	0	1	0
3031462283_573911339485233153_6	573911339485233153	https://twitter.com/realdonaldtrump/status/573911339485233153	3031462283	Cutting people off sucks. But hey, <b>shit</b> happens and you gotta do what's best for you	shit	0	3	1	3	0	0	3	0
213542763_292754206484475907_8	292754206484475907	https://twitter.com/realdonaldtrump/status/292754206484475907	213542763	That awkward moment when the girl that talks <b>shit</b> about you sits next to you #awkwaarrd <USER>	shit	2	1	2	0	2	0	2	0
29142475_438189949515358208_7	438189949515358208	https://twitter.com/realdonaldtrump/status/438189949515358208	29142475	<USER> :D can't wait to see more <b>Hell</b> On Wheels!!	hell	0	0	1	3	0	3	5	0
291954019_844445439537676288_2	844445439537676288	https://twitter.com/realdonaldtrump/status/844445439537676288	291954019	Go to <b>hell,</b> insomnia.	hell	3	0	0	3	0	1	1	0
39172835_66008869607972865_13	66008869607972865	https://twitter.com/realdonaldtrump/status/66008869607972865	39172835	I see it's house spider season again. *loads Raid cannon* See you in <b>hell,</b> jerks!	hell	0	0	0	3	1	3	5	0
729492252_315323000574590977_4	315323000574590977	https://twitter.com/realdonaldtrump/status/315323000574590977	729492252	There will be no <b>fucks</b> given. <USER> <USER>	fucks	0	3	1	3	0	0	3	0
935979132_671738579824046080_6	671738579824046080	https://twitter.com/realdonaldtrump/status/671738579824046080	935979132	<USER> <USER> <USER> <USER>_am_Pablo_ <USER> the <b>WOP</b> has to be in there at some point too right?	wop	3	0	0	0	1	3	0	0
1042937455_330594270396432384_6	330594270396432384	https://twitter.com/realdonaldtrump/status/330594270396432384	1042937455	So fuckin irritated with this taxi <b>shit.</b> I wish I could just go to sleep.	shit	1	3	0	3	0	0	3	0
133009895_75877928973516800_3	7.58779E+16	https://twitter.com/realdonaldtrump/status/75877928973516800	133009895	This plan's been <b>fucked</b> since Jump Street!	fucked	1	2	2	2	0	0	1	0
26051041_934419968019623938_16	934419968019623938	https://twitter.com/realdonaldtrump/status/934419968019623938	26051041	talk a lot of shit about self-growth and maturity then go back to making the same <b>dumbass</b> decisions you did in high school smh	dumbass	0	3	3	1	0	0	1	0
512625717_650389804643930112_14	650389804643930112	https://twitter.com/realdonaldtrump/status/650389804643930112	512625717	I actually take care of my phone and it randomly stops working. Im more <b>pissed</b> about all the poems I had on it.	pissed	0	3	1	3	0	0	1	0
1034131069_306834560304431105_2	306834560304431105	https://twitter.com/realdonaldtrump/status/306834560304431105	1034131069	Get yo <b>ass</b> up Tyler!! <URL>	ass	2	0	2	2	0	1	3	0
1480407091_601877633853337600_1	601877633853337600	https://twitter.com/realdonaldtrump/status/601877633853337600	1480407091	Conceited <b>ass</b> mother fucker	ass	2	2	2	1	0	0	0	0
18779480_129341059141599232_0	129341059141599232	https://twitter.com/realdonaldtrump/status/129341059141599232	18779480	<b>pissed</b> x100000 <USER> that ruined my day	pissed	1	3	0	3	0	0	1	0
18779480_139380194480898048_17	139380194480898048	https://twitter.com/realdonaldtrump/status/139380194480898048	18779480	<USER> lol we were okay, the only thing I'm being made fun of for is being a <b>slut</b>	slut	2	1	1	1	2	0	4	0
2538318732_538880548119138305_1	538880548119138305	https://twitter.com/realdonaldtrump/status/538880548119138305	2538318732	Attention: <b>shit</b> could be worse'	shit	0	1	3	3	0	0	3	0
4895831833_704661291994984448_7	704661291994984448	https://twitter.com/realdonaldtrump/status/704661291994984448	4895831833	? roughsexincarsblog: app where girls CRAVE your <b>dick</b> pics and send you nudes for them <URL>	dick	1	0	0	2	2	2	3	0
4090851143_705885292608225281_0	705885292608225281	https://twitter.com/realdonaldtrump/status/705885292608225281	4090851143	<b>Fucking</b> spiders. #HarryPotterForever	fucking	1	3	3	0	0	0	1	0
112319854_483429985441435649_1	483429985441435649	https://twitter.com/realdonaldtrump/status/483429985441435649	112319854	Hairs <b>fucked</b> up cause he pulling like this ????	fucked	0	3	1	3	0	0	3	0
19691215_195203516418101248_17	195203516418101248	https://twitter.com/realdonaldtrump/status/195203516418101248	19691215	I take it as my personal mission to make sure the office is clear of any Watchtower/OurDailyBread <b>shit.</b>	shit	0	3	3	1	0	0	1	0
260255296_340593569280704512_11	340593569280704512	https://twitter.com/realdonaldtrump/status/340593569280704512	260255296	<USER> f?ck you come to New York then I'll give a <b>sh%t</b>	shit	2	1	2	2	0	0	3	0
1034131069_308362583369461760_1	308362583369461760	https://twitter.com/realdonaldtrump/status/308362583369461760	1034131069	Kicked <b>ass</b> today at my dance competition. Really proved myself. #proud	ass	0	1	3	3	0	0	3	0
411286431_900807222950858752_12	900807222950858752	https://twitter.com/realdonaldtrump/status/900807222950858752	411286431	<USER> <USER> Exactly my reaction, she hasn't found the balance between offensive <b>asshole</b> and funny come... <URL>	asshole	2	1	2	0	2	0	0	0
952136497_684530771990810624_9	684530771990810624	https://twitter.com/realdonaldtrump/status/684530771990810624	952136497	<USER>: What you doin blue eyes Me: fixing your <b>shit</b> Ryan: thats my hair not my shirt but thanks	shit	2	2	2	1	0	0	3	0
1074269485_581239229088423938_5	581239229088423938	https://twitter.com/realdonaldtrump/status/581239229088423938	1074269485	<USER> <USER> Dont give a <b>damn</b> if I am!!!!	damn	1	3	3	0	0	0	1	0
3222318772_899402437295038464_16	899402437295038464	https://twitter.com/realdonaldtrump/status/899402437295038464	3222318772	<USER> ...long story, short: I asked him why he still watches Enter's videos and he got <b>pissed</b> when I did that...	pissed	1	3	0	3	0	0	3	0
342461238_628412376279166976_12	628412376279166976	https://twitter.com/realdonaldtrump/status/628412376279166976	342461238	it literally sounds like a mariachi band outside my window what the <b>fuck</b>	fuck	0	3	3	0	1	0	1	0
2222360154_617567474645536769_11	617567474645536769	https://twitter.com/realdonaldtrump/status/617567474645536769	2222360154	Rumor has it someone has Dynamite Sticks, that's straight up Felony <b>shit</b> right there.	shit	0	1	3	3	0	0	3	0
813547970_532724093024747520_4	532724093024747520	https://twitter.com/realdonaldtrump/status/532724093024747520	813547970	<USER> wait what the <b>shit</b> ud83dude02	shit	0	3	1	3	0	0	1	0
45175775_479876093563121664_14	479876093563121664	https://twitter.com/realdonaldtrump/status/479876093563121664	45175775	<USER> and you can tell the points players. Their the ones who give you <b>shit</b> offers for your big point pitchers.	shit	1	2	2	2	0	0	3	0
1700920166_439681671710142464_9	439681671710142464	https://twitter.com/realdonaldtrump/status/439681671710142464	1700920166	<USER> nah bruh, try best hoodie ever. That's the <b>shit</b> that goes down when you don't have sex tho	shit	0	3	3	1	0	0	1	0
1497193039_629769693176430592_4	629769693176430592	https://twitter.com/realdonaldtrump/status/629769693176430592	1497193039	Do you hear the <b>bullshit</b> when it is coming out of your mouth?	bullshit	2	2	2	1	0	0	1	0
1646911956_751539818421628930_1	751539818421628930	https://twitter.com/realdonaldtrump/status/751539818421628930	1646911956	This <b>shit</b> is getting out of hand... What did they think was gonna happen when they took his owner away from him <URL>	shit	1	2	2	2	0	0	3	0
189396646_834931447781810176_19	834931447781810176	https://twitter.com/realdonaldtrump/status/834931447781810176	189396646	Have you ever seen bigger snakes than Gar and Pax #ChicagoBulls they're such dirtbags go wiretap someone's phone ya <b>bitches</b>	bitches	2	1	2	0	2	0	0	0
2456041950_529495058731761664_1	529495058731761664	https://twitter.com/realdonaldtrump/status/529495058731761664	2456041950	fuck <b>fuck</b> fuck fuck	fuck	2	1	1	2	1	0	1	0
2456041950_529495058731761664_0	529495058731761664	https://twitter.com/realdonaldtrump/status/529495058731761664	2456041950	<b>fuck</b> fuck fuck fuck	fuck	1	3	0	3	0	0	1	0
2456041950_529495058731761664_3	529495058731761664	https://twitter.com/realdonaldtrump/status/529495058731761664	2456041950	fuck fuck fuck <b>fuck</b>	fuck	1	3	0	3	0	0	1	0
478766423_672265806487490560_5	672265806487490560	https://twitter.com/realdonaldtrump/status/672265806487490560	478766423	Astaghfirullah. They didn't waste any <b>damn</b> time. <URL>	damn	0	0	7	0	0	0	2	1
14062421_158196737239040000_4	1.58197E+17	https://twitter.com/realdonaldtrump/status/158196737239040000	14062421	<USER> <USER> <USER> Goofy's <b>whore</b> house #disneyPornNames	whore	1	0	1	3	2	0	3	1
